name	len	score	pvalue
NODE_21_length_34709_cov_5.928868	34709	0.9993845820426941	0.003021376236875897
NODE_50_length_17453_cov_43.388033	17453	0.99991774559021	0.0015295717199184228
NODE_42_length_19512_cov_4.576399	19512	0.9945333003997803	0.006212704887076063
NODE_47_length_18024_cov_9.437698	18024	0.5181335806846619	0.0550079311126218
NODE_58_length_15470_cov_7.342264	15470	0.655350387096405	0.03669083767656167
NODE_39_length_20306_cov_22.618735	20306	0.7765182256698608	0.027192386131883073
NODE_52_length_16827_cov_87.369902	16827	0.9994869232177734	0.0029458418309539994
NODE_45_length_19034_cov_17.051583	19034	0.6752886176109314	0.035142382355162774
NODE_51_length_17040_cov_25.975213	17040	0.9634425044059753	0.011821134526776947
NODE_55_length_16036_cov_29.192103	16036	1.0	0.0
NODE_61_length_14893_cov_4.504178	14893	0.9988464117050171	0.0037956038975753455
NODE_48_length_17759_cov_32.094385	17759	0.9999982714653015	0.0004343228340509102
NODE_6_length_54722_cov_28.131615	54722	0.9825237989425659	0.008950827101744845
NODE_59_length_15366_cov_9.115668	15366	0.6430991291999817	0.03767278495354634
NODE_70_length_13341_cov_22.118696	13341	0.9996691942214966	0.002435984590981192
NODE_9_length_51657_cov_10.816306	51657	0.9999211430549622	0.0014918045169574742
NODE_67_length_13790_cov_3.436112	13790	0.9602434635162354	0.012368758969710703
NODE_53_length_16784_cov_31.933050	16784	1.0	0.0
NODE_62_length_14772_cov_15.504587	14772	0.9896783828735352	0.007477906186267845
NODE_64_length_14587_cov_4.766240	14587	0.9540792107582092	0.013124103028929678
NODE_12_length_44911_cov_10.944110	44911	0.9029452800750732	0.017523982173880202
NODE_56_length_15799_cov_4.618267	15799	0.7060721516609192	0.03259309615529874
NODE_73_length_13120_cov_11.406276	13120	0.9996641278266907	0.002435984590981192
NODE_76_length_13004_cov_11.526064	13004	1.0	0.0
NODE_60_length_15143_cov_28.856641	15143	0.9699805378913879	0.010858070851272755
NODE_63_length_14684_cov_17.773805	14684	0.5965417623519897	0.04279024095475489
NODE_65_length_13937_cov_21.460020	13937	0.9956462383270264	0.0058350328574665765
NODE_71_length_13252_cov_4.212927	13252	0.5108938217163086	0.05697182566659113
NODE_68_length_13481_cov_7.627588	13481	0.9997262954711914	0.002266032177656923
NODE_57_length_15471_cov_40.148028	15471	0.960944414138794	0.012198806556386435
NODE_74_length_13048_cov_15.412222	13048	0.45683133602142334	0.08187929601933681
NODE_79_length_12919_cov_29.034748	12919	0.9999947547912598	0.0005665080444142307
NODE_1_length_170947_cov_11.607934	170947	0.9320539236068726	0.015427902409547549
NODE_85_length_12640_cov_6.040922	12640	0.997441828250885	0.005023037993806179
NODE_82_length_12873_cov_8.700967	12873	0.9409302473068237	0.01469144195180905
NODE_77_length_13002_cov_7.923921	13002	0.5854926109313965	0.043942140645063826
NODE_54_length_16230_cov_29.214652	16230	0.756679892539978	0.02887302666364529
NODE_72_length_13193_cov_6.962627	13193	0.7496570944786072	0.02925069869325478
NODE_88_length_12359_cov_8.429860	12359	0.9998937845230103	0.0016806405317622178
NODE_69_length_13471_cov_14.651535	13471	0.9995700120925903	0.002757005816149256
NODE_75_length_13043_cov_3.710887	13043	0.9999699592590332	0.0010197144799456153
NODE_66_length_13861_cov_11.163262	13861	1.0	0.0
NODE_91_length_12203_cov_5.057376	12203	0.981874942779541	0.009026361507666742
NODE_83_length_12839_cov_45.718789	12839	0.9734119772911072	0.010178261197975678
NODE_86_length_12500_cov_4.893049	12500	0.40141400694847107	0.09623083314449732
NODE_80_length_12895_cov_4.779673	12895	0.9931710958480835	0.006722562127048871
NODE_78_length_12929_cov_8.046916	12929	0.5103181600570679	0.05710401087695445
NODE_97_length_11425_cov_4.059455	11425	0.7078651785850525	0.03251756174937684
