"name","length","score","pvalue"
"NODE_29_length_26260_cov_4.603816",26260,0.936317136742657,0.00897404802328402
"NODE_30_length_26086_cov_10.793976",26086,0.989393272713811,0.00242541838467136
"NODE_31_length_24414_cov_6.675110",24414,0.639935345892743,0.0573611447974776
"NODE_32_length_24024_cov_13.833785",24024,0.966381538889371,0.00545719136551055
"NODE_33_length_22287_cov_4.304201",22287,0.956125206295449,0.00654862963861266
"NODE_34_length_21921_cov_25.004299",21921,0.526034640505852,0.0819791414018918
"NODE_35_length_21840_cov_28.823548",21840,0.802644383544938,0.0283773951006549
"NODE_36_length_21647_cov_25.221702",21647,0.937311251863471,0.00885277710405045
"NODE_37_length_21238_cov_17.430864",21238,0.0506664661888535,0.450157652195004
"NODE_38_length_21196_cov_23.153351",21196,0.302183781317331,0.160198884307543
"NODE_39_length_20306_cov_22.618735",20306,0.211062041261257,0.215013339801116
"NODE_40_length_20269_cov_23.672356",20269,0.51154755676267,0.0847683725442639
"NODE_41_length_19994_cov_30.783891",19994,0.619333410572457,0.062575794324521
"NODE_42_length_19512_cov_4.576399",19512,0.586314254433971,0.0690031530439001
"NODE_43_length_19511_cov_5.772050",19511,0.813080853613845,0.0264370603929178
"NODE_44_length_19097_cov_32.224504",19097,0.962929194363292,0.00569973320397769
"NODE_45_length_19034_cov_17.051583",19034,0.61876707190868,0.0629396070822217
"NODE_46_length_18137_cov_5.287745",18137,0.904383251649,0.0129759883579918
"NODE_47_length_18024_cov_9.437698",18024,0.160712064801749,0.259277225321368
"NODE_48_length_17759_cov_32.094385",17759,0.986401882537242,0.00278923114237206
"NODE_49_length_17587_cov_34.068731",17587,0.862296944443125,0.0192820761581373
"NODE_50_length_17453_cov_43.388033",17453,0.986903058341889,0.00278923114237206
"NODE_51_length_17040_cov_25.975213",17040,0.794822710529085,0.0289837496968227
"NODE_52_length_16827_cov_87.369902",16827,0.981075450814563,0.00363812757700703
"NODE_53_length_16784_cov_31.933050",16784,0.994609213662199,0.00133398011156925
"NODE_54_length_16230_cov_29.214652",16230,0.887830781593576,0.0149163230657288
"NODE_55_length_16036_cov_29.192103",16036,0.997358281167716,0.000606354596167839
