Header,Length,phage_score,chromosome_score,plasmid_score,Possible_source
NODE_87_length_12500_cov_4.833186,12500,0.631888981699944,0.11950455083698,0.248606482524425,phage
NODE_88_length_12359_cov_8.429860,12359,0.796235043636581,0.0722730320484443,0.131491936273642,phage
NODE_89_length_12259_cov_15.756227,12259,0.139921066117322,0.527437493942896,0.33264143556388,chromosome
NODE_90_length_12221_cov_6.730643,12221,0.692573028201509,0.190623835778371,0.116803149338429,phage
NODE_91_length_12203_cov_5.057376,12203,0.903803284584592,0.0326817124671381,0.0635149760700968,phage
NODE_92_length_12077_cov_4.191150,12077,0.699857308107111,0.110404766203808,0.189737918102922,phage
NODE_93_length_11988_cov_9.308975,11988,0.353329480261177,0.38187374196969,0.264796787859859,chromosome
NODE_94_length_11527_cov_38.472280,11527,0.795356775804872,0.0484589620099801,0.156184263360956,phage
NODE_95_length_11483_cov_31.117606,11483,0.659987424268733,0.145091029431184,0.194921578167,phage
NODE_96_length_11455_cov_4.818333,11455,0.761451893631208,0.150494117562044,0.0880539835931037,phage
NODE_97_length_11425_cov_4.059455,11425,0.560344791516694,0.122776363036826,0.316878825589134,phage
NODE_98_length_11371_cov_4.629993,11371,0.93247813602811,0.0259736359054599,0.0415482220699353,phage
NODE_99_length_11280_cov_7.361514,11280,0.197261490066476,0.706833564854683,0.0959049556844005,chromosome
NODE_100_length_11228_cov_6.333930,11228,0.817104922756845,0.0778301230140394,0.105064969218864,phage
NODE_101_length_11144_cov_19.128416,11144,0.30267176271683,0.180270315398651,0.517057930319239,plasmid
NODE_102_length_11131_cov_5.067895,11131,0.987007097085845,0.00507892016713503,0.00791397144329309,phage
NODE_103_length_11081_cov_5.643298,11081,0.610517047315381,0.133359621157051,0.256123331556392,phage
NODE_104_length_11061_cov_7.342359,11061,0.762388199575878,0.124267921637787,0.113343878517951,phage
NODE_105_length_10965_cov_7.234280,10965,0.828044458387978,0.0439134441593494,0.128042085894888,phage
NODE_106_length_10931_cov_5.022067,10931,0.914717470336708,0.0264932493976872,0.0587893047531002,phage
NODE_107_length_10921_cov_19.888183,10921,0.654490076461867,0.144669195951783,0.20084072461867,phage
NODE_108_length_10781_cov_3.969793,10781,0.678135285488297,0.0703463601742336,0.251518384165362,phage
NODE_109_length_10552_cov_4.012194,10552,0.71940126913438,0.0654049025632446,0.215193825951121,phage
NODE_110_length_10498_cov_32.128794,10498,0.10006227863741,0.579010331226454,0.320927397476977,chromosome
NODE_111_length_10361_cov_8.436057,10361,0.619132640062986,0.19412916762638,0.186738188413479,phage
NODE_112_length_10323_cov_5.890436,10323,0.324056057874909,0.313845189149142,0.362098768920754,plasmid
NODE_113_length_10255_cov_3.327647,10255,0.569112699615089,0.226224111601064,0.204663181511267,phage
